0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:41:56 +0530] "GET /Ebook/all_new_book.jsp HTTP/1.1" 200 10203
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:41:56 +0530] "GET /Ebook/Book/indianArmy.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:41:59 +0530] "GET /Ebook/all_recent_book.jsp HTTP/1.1" 200 16626
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:42:13 +0530] "GET /Ebook/PLogin.jsp HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:42:25 +0530] "POST /Ebook/psearchpage.jsp HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:42:33 +0530] "POST /Ebook/psearchpage.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:42:44 +0530] "POST /Ebook/psearchpage.jsp HTTP/1.1" 200 5665
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:42:53 +0530] "POST /Ebook/psearchpage.jsp HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:43:04 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:44:50 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:44:50 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6977
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:45:07 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:45:07 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 20692
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:45:18 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:45:28 +0530] "GET /Ebook/editprofile.jsp HTTP/1.1" 200 7632
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:45:45 +0530] "GET /Ebook/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:45:45 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 20314
0:0:0:0:0:0:0:1 - - [01/Apr/2022:11:46:18 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 7056
