127.0.0.1 - - [30/Mar/2022:19:39:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/ HTTP/1.1" 200 20358
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/dsg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/indianArmy.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/compiler.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/WhatsApp%20Image%202022-03-15%20at%208.50.22%20PM.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/91hg1HHyiWL.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/WhatsApp%20Image%202022-03-15%20at%208.50.22%20PM-removebg-preview.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/Screenshot%20(157).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:44 +0530] "GET /Ebook/Book/datast1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:39:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:09 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6977
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:23 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:23 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 20733
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:38 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 200 7962
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:42 +0530] "GET /Ebook/oldbooksellsetting.jsp HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:49 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 200 7962
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:40:51 +0530] "GET /Ebook/editprofile.jsp HTTP/1.1" 200 7645
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:03 +0530] "POST /Ebook/editprofile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:03 +0530] "GET /Ebook/editprofile.jsp HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:25 +0530] "GET /Ebook/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:25 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 20358
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:28 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 7056
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:46 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:41:46 +0530] "GET /Ebook/admin/Home.jsp HTTP/1.1" 200 6896
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/admin/p_allbook_see.jsp HTTP/1.1" 200 13189
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/Book/photoantu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/Book/20220216_141621.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/Book/hacking.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/Book/download%20(2).jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/Book/computerArchi.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:07 +0530] "GET /Ebook/Book/images.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:32 +0530] "GET /Ebook/admin/Home.jsp HTTP/1.1" 200 6896
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:35 +0530] "GET /Ebook/admin/palluser.jsp HTTP/1.1" 200 7709
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:47 +0530] "GET /Ebook/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2022:19:42:48 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 20358
