127.0.0.1 - - [27/Mar/2022:20:00:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/ HTTP/1.1" 200 13290
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/indianArmy.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/compiler.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/WhatsApp%20Image%202022-03-15%20at%208.50.22%20PM-removebg-preview.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/91hg1HHyiWL.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/images.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/Screenshot%20(157).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/java/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/datast1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /Ebook/Book/WhatsApp%20Image%202022-03-15%20at%208.50.22%20PM.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:22 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6674
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:39 +0530] "POST /Ebook/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:39 +0530] "GET /Ebook/admin/Home.jsp HTTP/1.1" 200 6896
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:40 +0530] "GET /Ebook/admin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/admin/all_books.jsp HTTP/1.1" 200 13927
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/python1.png HTTP/1.1" 200 200197
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/c1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/dbms2.png HTTP/1.1" 200 89370
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/2.jpg HTTP/1.1" 200 195412
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/dbms2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/c2.jpg HTTP/1.1" 200 28708
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/1.jpg HTTP/1.1" 200 195412
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/sql5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2022:20:00:43 +0530] "GET /Ebook/Book/sql3.jpg HTTP/1.1" 304 -
