127.0.0.1 - - [31/Mar/2022:16:55:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:55:36 +0530] "GET /Ebook/ HTTP/1.1" 200 20358
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:55:36 +0530] "GET /Ebook/Book/dsg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:55:36 +0530] "GET /Ebook/Book/indianArmy.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:55:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:58:05 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:58:05 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6977
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:58:12 +0530] "GET /Ebook/setting.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:58:12 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6977
0:0:0:0:0:0:0:1 - - [31/Mar/2022:16:58:15 +0530] "GET /Ebook/index.jsp HTTP/1.1" 200 20358
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:03:52 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:04:37 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:04:37 +0530] "GET /Ebook/Register.jsp HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:05:14 +0530] "POST /Ebook/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:05:14 +0530] "GET /Ebook/Login.jsp HTTP/1.1" 200 6977
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:05:21 +0530] "GET /Ebook/PLogin.jsp HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:05:24 +0530] "GET /Ebook/RegPublisher.jsp HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:06:32 +0530] "POST /Ebook/pregister HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:17:06:32 +0530] "GET /Ebook/PLogin.jsp HTTP/1.1" 200 6993
